상장유형,시장구분,종목명,상장일,공모가,공모금액,공모주식수,신주모집,구주매출,경쟁률,상장주식수,유통가능주식수,상장주선인
신규상장,KQ,포메탈,2010-09-17,6000 ,10800000 ,,,,,5987340 ,,IBK투자증권(주)
신규상장,KQ,한일진공,2010-10-05,2000 ,20000000 ,,,,,10540000 ,,키움증권(주)
신규상장,KQ,아이씨케이,2010-10-19,2800 ,4200000 ,,,,,10937077 ,,한화투자증권(주)
신규상장,KQ,지나인제약,2010-10-22,5800 ,6960000 ,,,,,4650271 ,,대우증권(주)
신규상장,KQ,인화정공,2010-10-22,26000 ,31200000 ,,,,,4344504 ,,신한금융투자(주)
신규상장,KQ,누리플랜,2010-10-26,5500 ,6050000 ,,,,,4310000 ,,에이치엠씨투자증권(주)
신규상장,KQ,아이텍,2010-10-26,9100 ,8190000 ,,,,,4612500 ,,대우증권(주)
신규상장,KQ,부국퓨쳐스타즈스팩,2010-10-29,2000 ,11800000 ,,,,,6670000 ,,부국증권(주)
신규상장,KQ,KNN,2010-11-03,9000 ,11970000 ,,,,,13242972 ,,미래에셋증권(주)
신규상장,KQ,KH 일렉트론,2010-11-05,8800 ,17600000 ,,,,,9500000 ,,현대증권(주)
신규상장,KQ,아나패스,2010-11-05,52000 ,24440000 ,,,,,3366190 ,,"대우증권(주),IBK투자증권(주)"
신규상장,KQ,선데이토즈,2010-11-10,4000 ,20000000 ,,,,,5232000 ,,하나금융투자(주)
신규상장,KQ,디케이락,2010-11-12,7500 ,15000000 ,,,,,6200000 ,,신한금융투자(주)
신규상장,KQ,코프라,2010-11-12,7000 ,12320000 ,,,,,5800000 ,,미래에셋증권(주)
신규상장,KQ,한국전자인증,2010-11-19,1600 ,2240000 ,,,,,21400000 ,,한국투자증권(주)
신규상장,KQ,시그네틱스,2010-11-26,2600 ,36526963 ,,,,,77288319 ,,"신한금융투자(주),미래에셋증권(주)"
신규상장,KQ,썬텍,2010-11-26,6800 ,7172681 ,,,,,4200000 ,,대신증권(주)
신규상장,KQ,티비씨,2010-11-29,7500 ,7500000 ,,,,,10000000 ,,부국증권(주)
신규상장,KQ,에이루트,2010-12-01,5500 ,8250000 ,,,,,5000000 ,,신한금융투자(주)
신규상장,KQ,디에이치피코리아,2010-12-03,4000 ,27000000 ,,,,,7250000 ,,하이투자증권(주)
신규상장,KQ,동부티에스블랙펄스팩,2010-12-08,2000 ,22500000 ,,,,,12300000 ,,동부증권(주)
신규상장,KQ,대정화금,2010-12-20,9200 ,21160000 ,,,,,5537272 ,,에이치엠씨투자증권(주)
신규상장,KQ,IBKS스팩1호,2010-12-22,1000 ,20000000 ,,,,,20880000 ,,IBK투자증권(주)
신규상장,KQ,이브이첨단소재,2010-12-27,2700 ,10800000 ,,,,,15000000 ,,한국투자증권(주)
