종목명,상장유형,공모가,상장일,상장주식수,매출총이익률,영업이익률,ROE,유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액증가율,영업이익증가율,IPO_PER,IPO_PBR,IPO_EV/EBITDA
엑스큐어,신규상장,5000,2010-06-09,4373900,0.398363859,0.101373917,0.32333906,2.765978967,2.620687578,0.551307091,64.59444839,12.13007841,62.74903639,0.288400025,0.065183037,9.164049454,2.963095141,6.225688442
오르비텍,신규상장,8500,2010-06-15,7117336,0.231132794,0.15078084,0.260291374,2.125766874,2.026767943,0.521240115,17.53570997,6.216397739,89.36502424,0.215751479,0.523720283,16.04727389,4.176966977,8.139932952
유비벨록스,신규상장,11000,2010-06-18,5410776,0.257010201,0.108892318,0.215266787,2.404174482,1.799883938,0.574745596,19.15205836,3.762928331,7.37528213,1.97093244,1.369783668,13.19183443,2.839763817,9.760324268
지유온,신규상장,13000,2010-06-18,3150000,0.73537418,0.463741121,0.332973041,12.75963821,12.75963821,0.081059533,14542.17181,15.31853132,,0.499445372,0.526129477,12.71566166,4.233972527,12.16218009
알톤스포츠,신규상장,1000,2010-07-02,20220000,0.304102244,0.088603202,0.122219236,0.983326806,0.607459032,0.505427477,7.586471141,11.74031144,8.993685539,0.177087884,0.779197221,9.320171395,1.139104231,7.273650458
에스디시스템,신규상장,14800,2010-07-16,3800000,0.198641287,0.107380304,0.249612393,5.204964626,4.28620566,0.226989871,inf,9.291835647,12.7802349,0.456122065,0.420883222,11.09147489,2.768569587,10.2105199
크루셜텍,신규상장,23500,2010-07-21,8289547,0.236853111,0.117231888,0.471726112,1.604532992,1.134958462,1.511298373,14.49148579,3.24996734,6.420039453,0.461381989,0.311858414,25.35910773,11.96255329,22.55303494
웨이포트,신규상장,1400,2010-07-23,55880000,0.220961808,0.105154548,0.426646986,1.048724397,0.751646516,4.465686325,7.214440189,5.216836666,4.923323611,0.19079965,0.516053086,9.883658055,4.216832921,5.415374876
하이텍팜,신규상장,11500,2010-07-28,7000000,0.266150728,0.225925326,0.423483878,2.337288539,1.761144226,0.616707607,42.10337517,3.31762258,7.007037432,0.396812361,1.56490375,8.64585318,3.661379438,6.459991516
인터로조,신규상장,12000,2010-07-28,4814000,0.742833558,0.455530835,0.350869337,3.361798462,2.603188249,0.417437359,44.68236236,4.931885002,5.593866999,0.320230226,0.71601381,10.94804606,3.841333663,7.950940174
이글루시큐리티,신규상장,14000,2010-08-04,7500000,0.658859343,0.174328942,0.257171706,3.375726129,3.375726313,0.384745597,57.26082465,2.981849679,,0.260861101,0.806090269,27.05771333,6.958478296,23.96301077
엠에스오토텍,신규상장,5500,2010-08-06,8200000,0.150577374,0.038098035,0.171659841,0.677533069,0.665082139,1.378181495,1.082163814,4.031358106,167.4727395,0.211799568,-0.526763108,6.843798123,1.174805298,4.283795137
코리아에프티,신규상장,4000,2010-08-27,6784000,0.123257088,0.004174938,0.187161354,0.820190994,0.69059696,2.729293145,0.279160597,2.681903897,13.8763474,0.060489962,8.063973829,6.523748116,1.220993529,6.667468929
